Squadra,Città,Latitudine,Longitudine
Atalanta,Bergamo,45.696,9.6672
Bologna,Bologna,44.4989,11.3266
Cagliari,Cagliari,39.2238,9.1217
Como,Como,45.8083,9.0853
Cremonese,Cremona,45.1333,10.0333
Fiorentina,Firenze,43.7696,11.2558
Genoa,Genova,44.4056,8.9463
Hellas Verona,Verona,45.4384,10.9916
Inter,Milano,45.4642,9.19
Milan,Milano,45.4642,9.19
Juventus,Torino,45.0703,7.6869
Lazio,Roma,41.9028,12.4964
Lecce,Lecce,40.352,18.174
Napoli,Napoli,40.8518,14.2681
Parma,Parma,44.8015,10.3279
Pisa,Pisa,43.7167,10.4
Roma,Roma,41.9028,12.4964
Sassuolo,Sassuolo,44.7195,10.7839
Torino,Torino,45.0703,7.6869
Udinese,Udine,46.0712,13.234
